mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006371498107910156,0.00124188802729829,0.0019370079040527343,0.0011062638882920217,0.0001,,"{'C': 0.0001, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.0033487796783447264,0.001352814762165785,0.0015944957733154297,0.0004882875922655434,0.0001,l2,"{'C': 0.0001, 'penalty': 'l2'}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,13
0.004629993438720703,0.00041116514336837296,0.0010053634643554688,0.000644265118595546,0.001,,"{'C': 0.001, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.002069425582885742,0.0006125820167443647,0.0012081146240234375,0.00042795521033088904,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,13
0.00439300537109375,0.0004988504032184056,0.0007895946502685547,0.0003956026943809458,0.01,,"{'C': 0.01, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.0016016960144042969,0.000496364578319659,0.0009884834289550781,1.62040464206273e-05,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.6373626373626373,0.6483516483516484,0.6373626373626373,0.6373626373626373,0.6373626373626373,0.6395604395604395,0.004395604395604425,12
0.004391098022460937,0.0007829913061107207,0.0011857986450195313,0.0004131044973688114,0.1,,"{'C': 0.1, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.0017784595489501952,0.0007452941383183527,0.000813436508178711,0.0004079599082548654,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.8901098901098901,0.9230769230769231,0.945054945054945,0.8681318681318682,0.8791208791208791,0.9010989010989011,0.028655834748143514,11
0.004981279373168945,0.0006062603528637109,0.0007978439331054688,0.0003989835470913108,1,,"{'C': 1, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.002363443374633789,0.0004843848123828534,0.0010270118713378907,4.2119218095350625e-05,1,l2,"{'C': 1, 'penalty': 'l2'}",0.9120879120879121,0.9120879120879121,0.967032967032967,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.02305074391582752,10
0.004709577560424805,0.0007410789143525943,0.0013926506042480468,0.0004907511431443444,10,,"{'C': 10, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.0044291019439697266,0.0028824926783117865,0.0013944625854492188,0.00045772794246313326,10,l2,"{'C': 10, 'penalty': 'l2'}",0.9120879120879121,0.9230769230769231,0.978021978021978,0.9340659340659341,0.967032967032967,0.9428571428571428,0.025441399786352133,9
0.003975343704223633,3.0373591254416844e-05,0.000812530517578125,0.0004082808005802891,100,,"{'C': 100, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.0035822391510009766,0.00045836277837934777,0.0010149002075195313,2.0992969125187843e-05,100,l2,"{'C': 100, 'penalty': 'l2'}",0.9120879120879121,0.945054945054945,0.978021978021978,0.9340659340659341,0.9560439560439561,0.945054945054945,0.021978021978021976,8
