mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01598196029663086,0.0017786266808503212,0.0,0.0,5,5,"{'max_depth': 5, 'n_estimators': 5}",0.9122807017543859,0.9385964912280702,0.9824561403508771,0.9298245614035088,0.9469026548672567,0.9420121099208197,0.0232542316526506,25
0.02548694610595703,0.004401688218798993,0.0045283794403076175,0.003968635512095636,5,10,"{'max_depth': 5, 'n_estimators': 10}",0.9035087719298246,0.9473684210526315,0.9736842105263158,0.9473684210526315,0.9734513274336283,0.9490762303990063,0.025620009907340105,24
0.06849203109741211,0.03668575491581009,0.0019335269927978516,0.0029494622421919136,5,20,"{'max_depth': 5, 'n_estimators': 20}",0.9122807017543859,0.9385964912280702,0.9736842105263158,0.9649122807017544,0.9646017699115044,0.9508150908244062,0.02256543035585269,23
0.10996980667114258,0.0018620512604548304,0.0,0.0,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9385964912280702,0.9385964912280702,0.9736842105263158,0.9736842105263158,0.9646017699115044,0.9578326346840553,0.016052566992302775,13
0.2057431697845459,0.004475868211285772,0.005458927154541016,0.003137283076983942,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9298245614035088,0.9385964912280702,0.9736842105263158,0.9649122807017544,0.9734513274336283,0.9560937742586555,0.01835592881701723,18
0.013659334182739258,0.003064166173492171,0.00035557746887207033,0.0004805606327835794,10,5,"{'max_depth': 10, 'n_estimators': 5}",0.9298245614035088,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9823008849557522,0.9596180717279925,0.018857900860914913,5
0.02359933853149414,0.002208627166424248,0.0004206180572509766,0.0008412361145019531,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.9210526315789473,0.956140350877193,0.9736842105263158,0.9736842105263158,0.9646017699115044,0.9578326346840553,0.019514090078648738,13
0.04237360954284668,0.002501598437328668,0.003593158721923828,0.003315410480747363,10,20,"{'max_depth': 10, 'n_estimators': 20}",0.9385964912280702,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9557522123893806,0.9560627231796305,0.01664429074749122,19
0.10751399993896485,0.0032720033731084438,0.005426883697509766,0.0031238764898609845,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9736842105263158,0.9734513274336283,0.9613569321533924,0.019664087183305364,1
0.21837568283081055,0.004336751370327892,0.006831645965576172,0.0037695826449513155,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.95960254618848,0.01886091718029936,9
0.011513853073120117,0.003917413219070724,0.0024686813354492187,0.003368452249929681,20,5,"{'max_depth': 20, 'n_estimators': 5}",0.9298245614035088,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9823008849557522,0.9596180717279925,0.018857900860914913,5
0.02382216453552246,0.002784225783375792,0.0009208202362060546,0.0018416404724121093,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.9210526315789473,0.956140350877193,0.9736842105263158,0.9736842105263158,0.9646017699115044,0.9578326346840553,0.019514090078648738,13
0.04147467613220215,0.001490340121408053,0.0021968364715576174,0.0030659960113567923,20,20,"{'max_depth': 20, 'n_estimators': 20}",0.9385964912280702,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9557522123893806,0.9560627231796305,0.01664429074749122,19
0.11312646865844726,0.0032033518913323366,0.0022905826568603515,0.0012491914966353864,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9736842105263158,0.9734513274336283,0.9613569321533924,0.019664087183305364,1
0.21681671142578124,0.005744978271620916,0.005152273178100586,0.00197065040266285,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.95960254618848,0.01886091718029936,9
0.011871147155761718,0.0019970540970834618,0.001969051361083984,0.001896335962397723,30,5,"{'max_depth': 30, 'n_estimators': 5}",0.9298245614035088,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9823008849557522,0.9596180717279925,0.018857900860914913,5
0.022119522094726562,0.0017536192788777099,0.0026633739471435547,0.003399817284681468,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.9210526315789473,0.956140350877193,0.9736842105263158,0.9736842105263158,0.9646017699115044,0.9578326346840553,0.019514090078648738,13
0.04403319358825684,0.0031613657608164326,0.0014362812042236328,0.001994810386112329,30,20,"{'max_depth': 30, 'n_estimators': 20}",0.9385964912280702,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9557522123893806,0.9560627231796305,0.01664429074749122,19
0.10968570709228516,0.0031843697867107467,0.002883243560791016,0.0018443450454096613,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9736842105263158,0.9734513274336283,0.9613569321533924,0.019664087183305364,1
0.21639976501464844,0.0037523721576996675,0.007281732559204101,0.0029137277236032256,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.95960254618848,0.01886091718029936,9
0.010084819793701173,0.0026316982800346105,0.0025879383087158204,0.0033865839394720365,,5,"{'max_depth': None, 'n_estimators': 5}",0.9298245614035088,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9823008849557522,0.9596180717279925,0.018857900860914913,5
