mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04318695068359375,0.013374376593914184,0.0006028175354003906,0.0012056350708007813,identity,10,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.9473684210526315,0.9385964912280702,0.956140350877193,0.956140350877193,0.9911504424778761,0.9578792113025928,0.01786237442350968,15
0.09050493240356446,0.0009642686490734635,0.0011642932891845702,0.002021935889508124,identity,10,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.8508771929824561,0.9210526315789473,0.9122807017543859,0.9210526315789473,0.9292035398230089,0.9068933395435492,0.028515078416660865,40
0.09805846214294434,0.007011056485308302,0.002305126190185547,0.002863724548032234,identity,10,adam,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.9473684210526315,0.9122807017543859,0.9649122807017544,0.9473684210526315,0.9557522123893806,0.9455364073901567,0.017846241306343904,29
0.04860424995422363,0.010852009930159312,0.0013154983520507813,0.0026309967041015627,identity,20,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'lbfgs'}",0.9473684210526315,0.9298245614035088,0.9473684210526315,0.9649122807017544,0.9911504424778761,0.9561248253376805,0.020731938369774768,21
0.09350719451904296,0.0069953637383740165,0.001844310760498047,0.002615466759394707,identity,20,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.8771929824561403,0.9298245614035088,0.9473684210526315,0.9298245614035088,0.9380530973451328,0.9244527247321844,0.02450018682176473,33
0.10561618804931641,0.005600790335154849,0.0025920867919921875,0.0024431912780922454,identity,20,adam,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.956140350877193,0.9385964912280702,0.9649122807017544,0.9210526315789473,0.9646017699115044,0.9490607048594939,0.016952111863612857,27
0.2307351589202881,0.06299916047230779,0.0,0.0,identity,50,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'lbfgs'}",0.9473684210526315,0.9473684210526315,0.956140350877193,0.9649122807017544,1.0,0.9631578947368421,0.019536015308175534,8
0.22319087982177735,0.0397316440182803,0.0034959793090820314,0.004306862357947042,identity,50,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.8947368421052632,0.8947368421052632,0.9385964912280702,0.9210526315789473,0.9557522123893806,0.920975003881385,0.024070144747206226,34
0.2780418872833252,0.051666480543371626,0.001601266860961914,0.003202533721923828,identity,50,adam,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.956140350877193,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9911504424778761,0.9666511411271541,0.015066542221604853,4
0.2257075786590576,0.08273880010466163,0.0031067848205566405,0.0038080593960373873,identity,100,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'lbfgs'}",0.9473684210526315,0.9473684210526315,0.956140350877193,0.9736842105263158,0.9911504424778761,0.9631423691973297,0.016983790673420117,9
0.23318781852722167,0.02486006333156451,0.0033006668090820312,0.004045457223861279,identity,100,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.9122807017543859,0.9298245614035088,0.9298245614035088,0.9473684210526315,0.9469026548672567,0.9332401800962582,0.01302998882471851,31
0.4119579315185547,0.10684179199456462,0.0,0.0,identity,100,adam,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'adam'}",0.9736842105263158,0.9649122807017544,0.9649122807017544,0.9649122807017544,1.0,0.9736842105263157,0.013589415249850585,1
0.0456275463104248,0.006702658427128556,0.0006030082702636718,0.0008343106999060187,logistic,10,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.9649122807017544,0.9473684210526315,0.956140350877193,0.9736842105263158,0.9646017699115044,0.9613414066138798,0.008922121107402356,12
0.053039836883544925,0.015237863275302226,0.0010200977325439454,0.002040195465087891,logistic,10,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.6283185840707964,0.6274181027790716,0.003948679172659169,45
0.15169882774353027,0.007646343616643558,0.0004092216491699219,0.0008184432983398438,logistic,10,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.8508771929824561,0.9122807017543859,0.8421052631578947,0.9298245614035088,0.9380530973451328,0.8946281633286757,0.04027139404895875,42
0.05807881355285645,0.005469043375372589,0.0037290096282958985,0.003419424501633653,logistic,20,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 20, 'solver': 'lbfgs'}",0.956140350877193,0.9473684210526315,0.956140350877193,0.9649122807017544,0.9734513274336283,0.95960254618848,0.008872760936304137,13
0.08033242225646972,0.009299956339440732,0.0010573387145996094,0.0011678763138942086,logistic,20,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.6228070175438597,0.6228070175438597,0.631578947368421,0.631578947368421,0.6283185840707964,0.6274181027790716,0.003948679172659169,45
