mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005866622924804688,0.004892828867641689,0.0019156455993652344,0.003831291198730469,0.1,2,linear,"{'C': 0.1, 'degree': 2, 'kernel': 'linear'}",0.9385964912280702,0.9298245614035088,0.9473684210526315,0.956140350877193,0.9646017699115044,0.9473063188945815,0.0123178695120838,40
0.005792999267578125,0.004738797114190241,0.001970195770263672,0.003940391540527344,0.1,2,poly,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.9649122807017544,0.9824561403508771,0.9649122807017544,0.9649122807017544,0.9734513274336283,0.9701288619779536,0.006994837087756605,30
0.007868671417236328,0.003958704248734235,0.0021175861358642576,0.004235172271728515,0.1,2,rbf,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",0.9210526315789473,0.9298245614035088,0.9736842105263158,0.956140350877193,0.9646017699115044,0.9490607048594939,0.02026052568892752,34
0.008907318115234375,0.0033222955345137833,0.005117940902709961,0.004208019149045404,0.1,2,sigmoid,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid'}",0.5789473684210527,0.5263157894736842,0.43859649122807015,0.5350877192982456,0.5929203539823009,0.5343735444806708,0.05413545247739692,46
0.0014091968536376954,0.0025869134005232827,0.004383516311645508,0.0010619313115238216,0.1,3,linear,"{'C': 0.1, 'degree': 3, 'kernel': 'linear'}",0.9385964912280702,0.9298245614035088,0.9473684210526315,0.956140350877193,0.9646017699115044,0.9473063188945815,0.0123178695120838,40
0.0020143985748291016,0.0024671459455863436,0.001011800765991211,0.002023601531982422,0.1,3,poly,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9823008849557522,0.9789163173420276,0.007002276500623634,1
0.005365514755249023,0.004408702015918466,0.0005221366882324219,0.0010442733764648438,0.1,3,rbf,"{'C': 0.1, 'degree': 3, 'kernel': 'rbf'}",0.9210526315789473,0.9298245614035088,0.9736842105263158,0.956140350877193,0.9646017699115044,0.9490607048594939,0.02026052568892752,34
0.009115266799926757,0.0009761551290447084,0.002957773208618164,0.0043012068292533545,0.1,3,sigmoid,"{'C': 0.1, 'degree': 3, 'kernel': 'sigmoid'}",0.5789473684210527,0.5263157894736842,0.43859649122807015,0.5350877192982456,0.5929203539823009,0.5343735444806708,0.05413545247739692,46
0.005241203308105469,0.0025933981983997535,0.0008330345153808594,0.0007823919767484233,0.1,4,linear,"{'C': 0.1, 'degree': 4, 'kernel': 'linear'}",0.9385964912280702,0.9298245614035088,0.9473684210526315,0.956140350877193,0.9646017699115044,0.9473063188945815,0.0123178695120838,40
0.003200721740722656,0.003222700222236476,0.000719451904296875,0.0008997147380121629,0.1,4,poly,"{'C': 0.1, 'degree': 4, 'kernel': 'poly'}",0.9824561403508771,0.9824561403508771,0.9736842105263158,0.9649122807017544,0.9823008849557522,0.9771619313771154,0.006994492478851644,7
0.004003000259399414,0.0027795888765058414,0.003454446792602539,0.0024293878412203827,0.1,4,rbf,"{'C': 0.1, 'degree': 4, 'kernel': 'rbf'}",0.9210526315789473,0.9298245614035088,0.9736842105263158,0.956140350877193,0.9646017699115044,0.9490607048594939,0.02026052568892752,34
0.007985401153564452,0.0035746796288254655,0.0042760372161865234,0.0031792251999226352,0.1,4,sigmoid,"{'C': 0.1, 'degree': 4, 'kernel': 'sigmoid'}",0.5789473684210527,0.5263157894736842,0.43859649122807015,0.5350877192982456,0.5929203539823009,0.5343735444806708,0.05413545247739692,46
0.004257059097290039,0.004437764632098424,0.000305938720703125,0.00061187744140625,0.1,5,linear,"{'C': 0.1, 'degree': 5, 'kernel': 'linear'}",0.9385964912280702,0.9298245614035088,0.9473684210526315,0.956140350877193,0.9646017699115044,0.9473063188945815,0.0123178695120838,40
0.003078460693359375,0.0037825640567350936,0.0006175041198730469,0.0012350082397460938,0.1,5,poly,"{'C': 0.1, 'degree': 5, 'kernel': 'poly'}",0.956140350877193,0.9824561403508771,0.9649122807017544,0.9649122807017544,0.9823008849557522,0.9701443875174661,0.010490210803241348,28
0.005221891403198242,0.004335804622081942,0.0032369136810302735,0.003199121857812168,0.1,5,rbf,"{'C': 0.1, 'degree': 5, 'kernel': 'rbf'}",0.9210526315789473,0.9298245614035088,0.9736842105263158,0.956140350877193,0.9646017699115044,0.9490607048594939,0.02026052568892752,34
0.008887100219726562,0.0010758198655142694,0.0024011611938476564,0.0031994261734357723,0.1,5,sigmoid,"{'C': 0.1, 'degree': 5, 'kernel': 'sigmoid'}",0.5789473684210527,0.5263157894736842,0.43859649122807015,0.5350877192982456,0.5929203539823009,0.5343735444806708,0.05413545247739692,46
0.005812406539916992,0.00182614182107282,0.0,0.0,0.1,6,linear,"{'C': 0.1, 'degree': 6, 'kernel': 'linear'}",0.9385964912280702,0.9298245614035088,0.9473684210526315,0.956140350877193,0.9646017699115044,0.9473063188945815,0.0123178695120838,40
0.0034983158111572266,0.0038033571696578722,0.0005268573760986329,0.001053714752197266,0.1,6,poly,"{'C': 0.1, 'degree': 6, 'kernel': 'poly'}",0.956140350877193,0.9824561403508771,0.9736842105263158,0.9736842105263158,0.9734513274336283,0.9718832479428661,0.00858569353791618,21
