mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010287141799926758,0.004001385462844997,0.0020037174224853517,0.0009104658873559905,5,5,"{'max_depth': 5, 'n_estimators': 5}",0.8791208791208791,0.9120879120879121,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.02600474629933899,21
0.01824636459350586,0.003205798103783211,0.002607393264770508,0.0005029034338259977,5,10,"{'max_depth': 5, 'n_estimators': 10}",0.8461538461538461,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9560439560439561,0.9252747252747253,0.04076315822195916,20
0.025354480743408202,0.002471971417560599,0.0018878936767578124,0.0004803564520611899,5,20,"{'max_depth': 5, 'n_estimators': 20}",0.8901098901098901,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.967032967032967,0.9384615384615385,0.028316700498297008,2
0.10376534461975098,0.06451950418238235,0.006094932556152344,0.002649123637418962,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.8791208791208791,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.967032967032967,0.9362637362637363,0.0321510743699512,3
0.11216573715209961,0.009435538531382046,0.004767513275146485,0.001135710995475459,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.8791208791208791,0.9340659340659341,0.967032967032967,0.9560439560439561,0.967032967032967,0.9406593406593406,0.03304021182059981,1
0.007222747802734375,0.0011340556751847468,0.0017928600311279297,0.0003979038631556792,10,5,"{'max_depth': 10, 'n_estimators': 5}",0.8681318681318682,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.02948661069230492,21
0.012356710433959962,0.0010487617140585116,0.0016108512878417968,0.00046963245082965924,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.8791208791208791,0.9340659340659341,0.945054945054945,0.9340659340659341,0.945054945054945,0.9274725274725275,0.02467026848422379,15
0.024866676330566405,0.005455373794473978,0.0022129058837890626,0.0004255685110842089,10,20,"{'max_depth': 10, 'n_estimators': 20}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.9560439560439561,0.9296703296703297,0.03154439581188422,8
0.05718793869018555,0.0054070222174719355,0.0029895782470703127,8.44957597096889e-07,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.945054945054945,0.9274725274725275,0.029974025707661205,15
0.12355875968933105,0.011495879547460019,0.005724334716796875,0.0015374816195649554,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.8791208791208791,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9560439560439561,0.9340659340659341,0.028655834748143528,4
0.009586334228515625,0.004734933491186197,0.0013133525848388673,0.0006226116403543173,20,5,"{'max_depth': 20, 'n_estimators': 5}",0.8681318681318682,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.02948661069230492,21
0.012984561920166015,0.0008974734352065842,0.0013917922973632813,0.0004911707573565684,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.8791208791208791,0.9340659340659341,0.945054945054945,0.945054945054945,0.945054945054945,0.9296703296703297,0.025630557779539778,8
0.023535966873168945,0.0005009465184181896,0.002179384231567383,0.0004062082246137916,20,20,"{'max_depth': 20, 'n_estimators': 20}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.9560439560439561,0.9296703296703297,0.03154439581188422,8
0.06215038299560547,0.005441937633674115,0.003595304489135742,0.0008147584035366328,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.945054945054945,0.9274725274725275,0.029974025707661205,15
0.11717510223388672,0.006016988598742075,0.004775428771972656,0.00039712295959927734,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.8791208791208791,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9560439560439561,0.9340659340659341,0.028655834748143528,4
0.007585954666137695,0.00048785695066209944,0.002023172378540039,0.0006029722556526978,30,5,"{'max_depth': 30, 'n_estimators': 5}",0.8681318681318682,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.02948661069230492,21
0.014248180389404296,0.0036039594285803937,0.0013939380645751954,0.00048714267522593477,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.8791208791208791,0.9340659340659341,0.945054945054945,0.945054945054945,0.945054945054945,0.9296703296703297,0.025630557779539778,8
0.023102283477783203,0.0014254203960639088,0.0017943382263183594,0.000398635921295746,30,20,"{'max_depth': 30, 'n_estimators': 20}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.9560439560439561,0.9296703296703297,0.03154439581188422,8
0.06109251976013184,0.008655723555393307,0.0034311771392822265,0.0007409271944465084,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8681318681318682,0.9340659340659341,0.945054945054945,0.945054945054945,0.945054945054945,0.9274725274725275,0.029974025707661205,15
0.11237821578979493,0.008902404728041926,0.0061451435089111325,0.0024003349291299536,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8791208791208791,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9560439560439561,0.9340659340659341,0.028655834748143528,4
0.006378650665283203,0.0004883245778604253,0.0009967327117919923,1.1680077279964343e-07,,5,"{'max_depth': None, 'n_estimators': 5}",0.8681318681318682,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.02948661069230492,21
