mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0011898040771484374,0.00023617584151723928,0.0038560867309570313,0.0005266301616055745,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.8791208791208791,0.8901098901098901,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9142857142857144,0.028145601043660904,28
0.000397491455078125,0.00048699830683539904,0.0011212348937988282,0.00025072247412965274,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.8351648351648352,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.945054945054945,0.9230769230769231,0.045574596380940045,24
0.0011957645416259765,0.0003977539263089454,0.004584884643554688,0.0011982445739817395,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.9120879120879121,0.9120879120879121,0.978021978021978,0.945054945054945,0.9340659340659341,0.9362637362637363,0.024473689506945145,6
0.0008002758026123047,0.00040016280002290786,0.0027591705322265623,0.0035807283484432474,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.8901098901098901,0.9120879120879121,0.978021978021978,0.945054945054945,0.9340659340659341,0.9318681318681319,0.029812439486264917,11
0.0009961128234863281,5.642013342952362e-07,0.00398707389831543,4.76837158203125e-07,4,uniform,"{'n_neighbors': 4, 'weights': 'uniform'}",0.9230769230769231,0.945054945054945,0.978021978021978,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.02346610604842044,6
0.0007974147796630859,0.00039870742903808847,0.0005979537963867188,0.0004882272303025095,4,distance,"{'n_neighbors': 4, 'weights': 'distance'}",0.8791208791208791,0.9230769230769231,0.978021978021978,0.945054945054945,0.9340659340659341,0.9318681318681319,0.03215107436995118,11
0.0009965896606445312,0.0006302987161901117,0.003588104248046875,0.0004883440776354491,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.8901098901098901,0.945054945054945,0.989010989010989,0.945054945054945,0.9560439560439561,0.945054945054945,0.03184917966195484,1
0.0009966373443603515,1.784161275279017e-07,0.0007973670959472656,0.0003986835622314115,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.8791208791208791,0.9340659340659341,0.989010989010989,0.945054945054945,0.945054945054945,0.9384615384615385,0.03516483516483518,3
0.0009964942932128907,0.0006302232557812492,0.004784202575683594,0.000398802881981438,6,uniform,"{'n_neighbors': 6, 'weights': 'uniform'}",0.9010989010989011,0.9230769230769231,0.967032967032967,0.9230769230769231,0.9230769230769231,0.9274725274725275,0.021533975760731225,17
0.0010199546813964844,4.6372750729706085e-05,0.0012181758880615234,0.0003896909658381116,6,distance,"{'n_neighbors': 6, 'weights': 'distance'}",0.8791208791208791,0.9560439560439561,0.989010989010989,0.945054945054945,0.945054945054945,0.9428571428571428,0.035710058921476766,2
0.0009967803955078125,1.784161275279017e-07,0.008270645141601562,0.004641525406887263,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.9120879120879121,0.9340659340659341,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9362637362637363,0.01758241758241759,6
0.0009967327117919923,2.431401974483864e-07,0.0009967803955078125,2.78041453115716e-07,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.9120879120879121,0.9340659340659341,0.967032967032967,0.9340659340659341,0.9230769230769231,0.9340659340659341,0.018388132451298365,9
0.000797271728515625,0.0007455883656558142,0.0037871837615966798,0.000745881443526651,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.9010989010989011,0.9340659340659341,0.967032967032967,0.9230769230769231,0.9340659340659341,0.9318681318681319,0.0213084828897421,11
0.00059814453125,0.0004883830189820749,0.0011957645416259765,0.00039834979050234126,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.9010989010989011,0.9340659340659341,0.978021978021978,0.9230769230769231,0.9560439560439561,0.9384615384615385,0.026556144996911134,3
0.000797271728515625,0.0003986358927767803,0.003986740112304687,0.0008916434568812049,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",0.9120879120879121,0.9340659340659341,0.978021978021978,0.9120879120879121,0.9560439560439561,0.9384615384615385,0.02563055777953979,3
0.004442644119262695,0.006892466547372955,0.0009968280792236328,5.001110306597479e-07,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",0.8901098901098901,0.9340659340659341,0.978021978021978,0.9120879120879121,0.9560439560439561,0.934065934065934,0.03108161675545265,10
0.0007975101470947266,0.00039875519828053163,0.003806877136230469,0.0007254733539122614,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.9010989010989011,0.9120879120879121,0.978021978021978,0.9230769230769231,0.9340659340659341,0.9296703296703297,0.026556144996911134,16
0.0009961605072021484,1.4805006691226983e-06,0.0011965274810791016,0.00039832772889688135,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.8791208791208791,0.9340659340659341,0.978021978021978,0.9120879120879121,0.9340659340659341,0.9274725274725274,0.03230096364109685,20
0.001209592819213867,0.0002717300633331137,0.004820394515991211,0.0013948707315243195,11,uniform,"{'n_neighbors': 11, 'weights': 'uniform'}",0.9120879120879121,0.9230769230769231,0.978021978021978,0.9120879120879121,0.9340659340659341,0.9318681318681319,0.024473689506945142,11
0.0011963367462158204,0.0003979479178673597,0.0013955593109130859,0.00048776028359863595,11,distance,"{'n_neighbors': 11, 'weights': 'distance'}",0.8791208791208791,0.9230769230769231,0.978021978021978,0.9120879120879121,0.9230769230769231,0.923076923076923,0.0318491796619548,25
