mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003030204772949219,0.0037031216275075006,0.03896212577819824,0.0756809820544232,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.9473684210526315,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9646017699115044,0.9578326346840551,0.008544746936539283,27
0.00029807090759277345,0.0005961418151855469,0.003976678848266602,0.004907022740406712,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.956140350877193,0.956140350877193,0.9824561403508771,0.9385964912280702,0.9292035398230089,0.9525073746312683,0.01822035671858781,28
0.0017332077026367188,0.0034664154052734372,0.002129364013671875,0.0040138784981423835,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.956140350877193,0.956140350877193,0.9912280701754386,0.956140350877193,0.9557522123893806,0.9630802670392796,0.014074704368861478,25
0.0,0.0,0.00581207275390625,0.004986818737415972,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.956140350877193,0.956140350877193,0.9912280701754386,0.956140350877193,0.9557522123893806,0.9630802670392796,0.014074704368861478,25
0.0005054950714111328,0.0010109901428222655,0.0036911964416503906,0.0038921028628368676,4,uniform,"{'n_neighbors': 4, 'weights': 'uniform'}",0.9649122807017544,0.9473684210526315,0.9912280701754386,0.956140350877193,0.9646017699115044,0.9648501785437045,0.014678771565898203,21
0.0,0.0,0.0021169185638427734,0.004233837127685547,4,distance,"{'n_neighbors': 4, 'weights': 'distance'}",0.9736842105263158,0.956140350877193,0.9912280701754386,0.9736842105263158,0.9557522123893806,0.9700978108989288,0.013212261490923326,4
0.0,0.0,0.002506256103515625,0.003259049278940055,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.956140350877193,0.956140350877193,0.9912280701754386,0.956140350877193,0.9734513274336283,0.9666200900481291,0.014012089704506316,11
9.932518005371094e-05,0.00019865036010742189,0.004019975662231445,0.003488718380136578,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.956140350877193,0.956140350877193,0.9912280701754386,0.956140350877193,0.9734513274336283,0.9666200900481291,0.014012089704506316,11
0.001957607269287109,0.003915214538574218,0.0018468379974365234,0.0036936759948730472,6,uniform,"{'n_neighbors': 6, 'weights': 'uniform'}",0.9649122807017544,0.956140350877193,0.9824561403508771,0.956140350877193,0.9823008849557522,0.968390001552554,0.011862304695158518,5
2.0313262939453126e-05,4.062652587890626e-05,0.0025210857391357424,0.0039100116877335295,6,distance,"{'n_neighbors': 6, 'weights': 'distance'}",0.9649122807017544,0.9473684210526315,0.9912280701754386,0.9736842105263158,0.9734513274336283,0.9701288619779538,0.0142415326274357,2
0.0034746170043945313,0.004277835411752524,0.0,0.0,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.956140350877193,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.9631113181183046,0.015059565251444746,22
0.0,0.0,0.004515409469604492,0.0037828742648193716,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.956140350877193,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.9631113181183046,0.015059565251444746,22
0.0,0.0,0.003488779067993164,0.0042974874374706,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.956140350877193,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9823008849557522,0.9666356155876417,0.014000249411212926,10
0.0,0.0,0.004451560974121094,0.005800589024845976,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.9649122807017544,0.956140350877193,0.9824561403508771,0.9649122807017544,0.9823008849557522,0.9701443875174661,0.010490210803241348,1
0.0,0.0,0.002436256408691406,0.003016079266694752,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",0.956140350877193,0.956140350877193,0.9824561403508771,0.9649122807017544,0.9823008849557522,0.9683900015525537,0.011862304695158518,6
0.0,0.0,0.004178142547607422,0.00381731548044611,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",0.956140350877193,0.956140350877193,0.9824561403508771,0.9649122807017544,0.9823008849557522,0.9683900015525537,0.011862304695158518,6
0.0,0.0,0.004198789596557617,0.005198376581444856,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.9736842105263158,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.9683744760130415,0.011878569887363591,8
0.0,0.0,0.003685617446899414,0.004576335681364791,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.9736842105263158,0.956140350877193,0.9912280701754386,0.9649122807017544,0.9646017699115044,0.9701133364384411,0.011926909024450337,3
0.0,0.0,0.003918743133544922,0.004803025440936145,11,uniform,"{'n_neighbors': 11, 'weights': 'uniform'}",0.9473684210526315,0.9473684210526315,0.9912280701754386,0.9649122807017544,0.9734513274336283,0.9648657040832168,0.016619261539440697,18
0.0015972614288330077,0.0031945228576660155,0.002475547790527344,0.0038211279173595773,11,distance,"{'n_neighbors': 11, 'weights': 'distance'}",0.9473684210526315,0.9473684210526315,0.9912280701754386,0.9649122807017544,0.9734513274336283,0.9648657040832168,0.016619261539440697,18
0.0019425392150878907,0.0038850784301757814,0.0020424365997314454,0.00408487319946289,12,uniform,"{'n_neighbors': 12, 'weights': 'uniform'}",0.9736842105263158,0.9385964912280702,0.9824561403508771,0.9649122807017544,0.9734513274336283,0.9666200900481291,0.015070413366127128,11
