mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004143714904785156,0.0009463152311799274,0.0018245697021484375,0.00041749339530721145,0.1,2,linear,"{'C': 0.1, 'degree': 2, 'kernel': 'linear'}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9362637362637363,0.01076698788036562,14
0.0030601978302001952,0.0008970343277931812,0.0019750595092773438,0.0002183832974985432,0.1,2,poly,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.9120879120879121,0.9120879120879121,0.967032967032967,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.02305074391582752,20
0.0026642322540283204,0.0005985527863778658,0.0023871898651123048,0.0007949355482217832,0.1,2,rbf,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113,1
0.004584980010986328,0.0007868305306500264,0.0022583484649658205,0.0004539526660753068,0.1,2,sigmoid,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid'}",0.5824175824175825,0.5714285714285714,0.42857142857142855,0.3956043956043956,0.46153846153846156,0.48791208791208784,0.07568868289108821,46
0.002055978775024414,0.00014479697162720116,0.0014542102813720702,0.0005414985443046262,0.1,3,linear,"{'C': 0.1, 'degree': 3, 'kernel': 'linear'}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9362637362637363,0.01076698788036562,14
0.0020009994506835936,0.00013507134476343995,0.0009862422943115235,5.0509548532888545e-05,0.1,3,poly,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.8901098901098901,0.9120879120879121,0.978021978021978,0.9340659340659341,0.9560439560439561,0.9340659340659341,0.031081616755452655,20
0.0029746055603027343,0.0010455562449925193,0.0031306266784667967,0.0033145815741020207,0.1,3,rbf,"{'C': 0.1, 'degree': 3, 'kernel': 'rbf'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113,1
0.004448461532592774,0.0008961485713217883,0.002200412750244141,0.0003527612613851161,0.1,3,sigmoid,"{'C': 0.1, 'degree': 3, 'kernel': 'sigmoid'}",0.5824175824175825,0.5714285714285714,0.42857142857142855,0.3956043956043956,0.46153846153846156,0.48791208791208784,0.07568868289108821,46
0.002579212188720703,0.000409922375454256,0.0014084339141845702,0.000492951214523228,0.1,4,linear,"{'C': 0.1, 'degree': 4, 'kernel': 'linear'}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9362637362637363,0.01076698788036562,14
0.0017186641693115235,0.0003982037559100898,0.001248931884765625,0.0003660822557821919,0.1,4,poly,"{'C': 0.1, 'degree': 4, 'kernel': 'poly'}",0.8791208791208791,0.9120879120879121,0.989010989010989,0.9340659340659341,0.9560439560439561,0.9340659340659341,0.03742722278225585,20
0.0028203487396240234,0.0004426884013717341,0.0017720699310302735,0.0003832886840686576,0.1,4,rbf,"{'C': 0.1, 'degree': 4, 'kernel': 'rbf'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113,1
0.004951667785644531,0.0007954714952238673,0.0026212692260742187,0.0005179133949839436,0.1,4,sigmoid,"{'C': 0.1, 'degree': 4, 'kernel': 'sigmoid'}",0.5824175824175825,0.5714285714285714,0.42857142857142855,0.3956043956043956,0.46153846153846156,0.48791208791208784,0.07568868289108821,46
0.0025855541229248048,0.0004897784909153398,0.001009654998779297,2.483145239437223e-05,0.1,5,linear,"{'C': 0.1, 'degree': 5, 'kernel': 'linear'}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9362637362637363,0.01076698788036562,14
0.0015835762023925781,0.00046485934765401287,0.0012036800384521485,0.00036003408301454914,0.1,5,poly,"{'C': 0.1, 'degree': 5, 'kernel': 'poly'}",0.8791208791208791,0.9120879120879121,0.978021978021978,0.9340659340659341,0.9560439560439561,0.9318681318681319,0.0343307678061831,28
0.0023895263671875,0.000488640715299429,0.001386737823486328,0.00046870265984121437,0.1,5,rbf,"{'C': 0.1, 'degree': 5, 'kernel': 'rbf'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113,1
0.015635585784912108,0.014979612911425199,0.011455488204956055,0.015927330863716768,0.1,5,sigmoid,"{'C': 0.1, 'degree': 5, 'kernel': 'sigmoid'}",0.5824175824175825,0.5714285714285714,0.42857142857142855,0.3956043956043956,0.46153846153846156,0.48791208791208784,0.07568868289108821,46
0.004909610748291016,0.0007120370541548136,0.0027071475982666016,0.0004238201678511484,0.1,6,linear,"{'C': 0.1, 'degree': 6, 'kernel': 'linear'}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9362637362637363,0.01076698788036562,14
0.003560781478881836,0.0005270101908408564,0.002569437026977539,0.0004809378963033957,0.1,6,poly,"{'C': 0.1, 'degree': 6, 'kernel': 'poly'}",0.8571428571428571,0.9340659340659341,0.978021978021978,0.9340659340659341,0.9560439560439561,0.9318681318681319,0.04076315822195915,28
