mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013706541061401368,0.004460763410086563,0.001766204833984375,0.0007025962119599226,identity,10,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.06251440048217774,0.0039153825592633165,0.0015989303588867187,0.0004900690639896561,identity,10,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.8681318681318682,0.7692307692307693,0.9120879120879121,0.8571428571428571,0.8791208791208791,0.8571428571428571,0.047647216238854484,36
0.07226338386535644,0.0022551377307944015,0.0011852264404296875,0.0004060996864410249,identity,10,adam,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.9340659340659341,0.9120879120879121,0.945054945054945,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.015540808377726326,24
0.011761283874511719,0.0015952730092673845,0.0011954784393310546,0.000396943103086412,identity,20,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'lbfgs'}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312,1
0.06383218765258789,0.004322763789041264,0.001395845413208008,0.0004874292452365035,identity,20,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.8901098901098901,0.9120879120879121,0.9230769230769231,0.8241758241758241,0.8901098901098901,0.887912087912088,0.03433076780618312,33
0.07167716026306152,0.005494893143389565,0.0013597488403320312,0.00044306785025391784,identity,20,adam,"{'activation': 'identity', 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.9340659340659341,0.9120879120879121,0.967032967032967,0.9120879120879121,0.9560439560439561,0.9362637362637363,0.02241327258722105,21
0.018992233276367187,0.001256287880649912,0.0012065410614013673,0.0003988099516610032,identity,50,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'lbfgs'}",0.9010989010989011,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.9494505494505494,0.026556144996911137,5
0.10257749557495117,0.0065877213675649355,0.001406240463256836,0.0004906302718453092,identity,50,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.9010989010989011,0.8901098901098901,0.945054945054945,0.8791208791208791,0.8791208791208791,0.8989010989010989,0.024473689506945152,31
0.11296553611755371,0.009182904134536278,0.001201295852661133,0.00039683128020917194,identity,50,adam,"{'activation': 'identity', 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113,14
0.022238492965698242,0.012367175033880117,0.0012038707733154296,0.0003999241688706799,identity,100,lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'lbfgs'}",0.9010989010989011,0.945054945054945,0.978021978021978,0.945054945054945,0.9560439560439561,0.945054945054945,0.025058800551629394,9
0.11268143653869629,0.007856676987793456,0.0012042522430419922,0.0003949419990791766,identity,100,sgd,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.8791208791208791,0.9230769230769231,0.945054945054945,0.8461538461538461,0.8901098901098901,0.8967032967032967,0.03447118053045742,32
0.12462263107299805,0.00815749342448857,0.0012050151824951171,0.00040280310276767737,identity,100,adam,"{'activation': 'identity', 'hidden_layer_sizes': 100, 'solver': 'adam'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9340659340659341,0.967032967032967,0.9428571428571428,0.025441399786352133,10
0.07448196411132812,0.005174613128531148,0.0013780593872070312,0.0004695899257995682,logistic,10,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.8901098901098901,0.945054945054945,0.978021978021978,0.967032967032967,0.9560439560439561,0.9472527472527472,0.030611842367437643,6
0.03551182746887207,0.024444109508319455,0.0010368824005126953,3.975947029977979e-05,logistic,10,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,45
0.11070175170898437,0.006116271297377801,0.0013776779174804687,0.00048678475679139597,logistic,10,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.7142857142857143,0.6703296703296703,0.7472527472527473,0.7582417582417582,0.7142857142857143,0.7208791208791209,0.03076923076923078,44
0.12056155204772949,0.0065297673010888645,0.00156402587890625,0.0004974226413951621,logistic,20,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 20, 'solver': 'lbfgs'}",0.9120879120879121,0.9340659340659341,0.978021978021978,0.9230769230769231,0.945054945054945,0.9384615384615385,0.02262775855161977,18
0.052136707305908206,0.01920905799132997,0.0013967990875244141,0.000487722499976608,logistic,20,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,45
